patent_id	citation_id	date
6972421	3961197	2005-12-06
6452199	3961197	2002-09-17
7247870	3961197	2007-07-24
7346093	3961197	2008-03-18
7309871	3961197	2007-12-18
8461560	3961197	2013-06-11
8075732	3961197	2011-12-13
7482609	3961197	2009-01-27
5892810	3961197	1999-04-06
7589337	3961197	2009-09-15
7928417	3961197	2011-04-19
7088758	3961197	2006-08-08
7141806	3961197	2006-11-28
7453077	3961197	2008-11-18
6815700	3961197	2004-11-09
7449704	3961197	2008-11-11
7317196	3961197	2008-01-08
7838854	3961197	2010-11-23
7642533	3961197	2010-01-05
7087914	3961197	2006-08-08
4178524	3961197	1979-12-11
7378673	3961197	2008-05-27
7394083	3961197	2008-07-01
7323703	3961197	2008-01-29
7372056	3961197	2008-05-13
7402825	3961197	2008-07-22
5763930	3961197	1998-06-09
7297948	3961197	2007-11-20
7196342	3961197	2007-03-27
7355191	3961197	2008-04-08
7388220	3961197	2008-06-17
6968038	3961197	2005-11-22
7368741	3961197	2008-05-06
7439530	3961197	2008-10-21
7361918	3961197	2008-04-22
6414438	3961197	2002-07-02
7525111	3961197	2009-04-28
4875214	3961197	1989-10-17
6744060	3961197	2004-06-01
6804327	3961197	2004-10-12
5866871	3961197	1999-02-02
7164144	3961197	2007-01-16
H0012009	3961197	1993-06-01
6084198	3961197	2000-07-04
6980625	3961197	2005-12-27
6566667	3961197	2003-05-20
7217940	3961197	2007-05-15
7291853	3961197	2007-11-06
7193228	3961197	2007-03-20
7465946	3961197	2008-12-16
7109503	3961197	2006-09-19
6586757	3961197	2003-07-01
7122816	3961197	2006-10-17
7180081	3961197	2007-02-20
7449703	3961197	2008-11-11
6349128	3961197	2002-02-19
7732793	3961197	2010-06-08
7217941	3961197	2007-05-15
6172324	3961197	2001-01-09
4206364	3961197	1980-06-03
7045791	3961197	2006-05-16
7476887	3961197	2009-01-13
7365349	3961197	2008-04-29
7180083	3961197	2007-02-20
7365351	3961197	2008-04-29
6051841	3961197	2000-04-18
4553256	3961197	1985-11-12
7405416	3961197	2008-07-29
7598509	3961197	2009-10-06
5896407	3961197	1999-04-20
4831627	3961197	1989-05-16
4771430	3961197	1988-09-13
4598415	3961197	1986-07-01
9324897	4178524	2016-04-26
4929281	4178524	1990-05-29
7335892	4178524	2008-02-26
5616928	4178524	1997-04-01
8284075	4178524	2012-10-09
H0004073	4178524	1988-01-05
9570644	4178524	2017-02-14
8134476	4178524	2012-03-13
