patent_id,citation_id
5684632,3934210
7045776,3931589
3936767,3851272
5444572,3932184
7547879,3931589
5480764,3932184
4206422,3930731
5219785,3936322
3935545,3362285
5497391,3936322
4250466,3931592
5311529,3931589
8864755,3932184
5701373,3932184
7469710,3936771
5627922,3932184
3934210,3358243
9457415,3932184
3934167,3390297
6580733,3935543
7399958,3931589
8346631,3931589
4847853,3934212
3934211,3576500
5038360,3934210
6282013,3931589
3936767,3614642
3935543,3593188
4124826,3936322
4233572,3934210
5319662,3934211
6936760,3933323
5482800,3932184
4305555,3933323
3936322,3617929
4496518,3936770
4146329,3937079
3936322,3245002
3931592,3633995
7355170,3931589
5256799,3932415
9782562,3932184
7608818,3931589
4584689,3934212
5111343,3935545
4250427,3936767
5392309,3937079
6116900,3931589
4757511,3935547
4371135,3933323
4255720,3934211
4955033,3934211
6743221,3934210
4013978,3931594
4393505,3934211
7230238,3931589
4679204,3936767
4233569,3934210
4813774,3930731
7576319,3931589
4865451,3930731
4858237,3931589
6972407,3931589
4216440,3931592
4159863,3932184
5685505,3933323
5762298,3933323
3935543,3656068
5684812,3936770
7435950,3931589
8221903,3932415
3931589,3586996
5233462,3934210
3936767,3713043
6931046,3931594
5341392,3934211
4069463,3936322
5227487,3932415
3936769,3763443
4730334,3931589
5009243,3933323
4266200,3934211
6342968,3934210
6575964,3934210
4258335,3935544
4955033,3936772
5287214,3934210
4651012,3936771
7453060,3931589
4630275,3936769
3936767,R27282
3936771,3617928
5142548,3934210
3933323,3341708
6438151,3931594
4786918,3936322
4530750,3931589
8074936,3933323
4050033,3934212
4335462,3935547
4942588,3937079
7853349,3931589
7900875,3933323
7057168,3931589
3933323,3467840
4837774,3936767
7605367,3931589
3930731,3596201
3936322,3622382
3937079,3466566
3934167,1877716
5193098,3936322
3934167,3563655
4494827,3935543
4048587,3936772
4934816,3931592
9730778,3931589
7886642,3931589
5175742,3936771
8370222,3931589
6804287,3936772
5410053,3932415
3931591,3473144
4439862,3936768
4156207,3936771
7365316,3931589
5049753,3933323
4287484,3934211
3936322,3649369
8864754,3932184
4358858,3932184
7720332,3932184
5199040,3931594
5402510,3932184
3935544,3879681
5414724,3931591
4331938,3936322
8344338,3931589
7619214,3931589
8198031,3932415
4016500,3931594
9622839,3931589
6328449,3934210
4719637,3934212
9485848,3931589
4050035,3936768
4900686,3932415
4475202,3936767
5310686,3932184
3937079,3573656
7262407,3931589
7077361,3933323
3931591,3471408
5774218,3935543
6087991,3933323
6815668,3931589
6384099,3931589
6815669,3931589
7129482,3931589
7148477,3931589
7339164,3931589
4402993,3931589
7227134,3931589
4060309,3932184
5141879,3936322
4426705,3931589
4368415,3933323
3934167,3745483
4352184,3930731
8658665,3932415
6157661,3931589
8217344,3931589
9814513,3932184
5471345,3932184
6144494,3934210
7091481,3931589
9392677,3936772
6750357,3932415
5752676,3933323
4818087,3930731
7598489,3931589
4097762,3936767
4001719,3932184
3934210,3588224
8596581,3933323
3934210,3628173
4683484,3936322
4328464,3936772
3934212,3745482
3936322,3691476
9939447,3932415
5450241,3932184
5260639,3933323
7247953,3933323
4438557,3934167
7019291,3931589
7098449,3931589
4757511,3936767
4129835,3936772
7786431,3931589
5715269,3931589
4593397,3936772
4821282,3930731
9693846,3931589
7220256,3934210
4048587,3934211
5683600,3935545
4853938,3936767
7062135,3932184
8357277,3932415
6770069,3934210
5572358,3934210
8247180,3932415
3936771,3654569
5885272,3932184
7714284,3931589
5463498,3932184
7230967,3935547
5909051,3936322
7211791,3931589
5547716,3934212
7456394,3931589
3936771,3768035
3937079,3783685
4150343,3934212
9572643,3931589
8653784,3933323
5166947,3934211
3937079,3622245
4940308,3935545
4333035,3934167
7336690,3934210
4977575,3936770
7197060,3935547
4865436,3930731
8410432,3931589
9827643,3931589
5123026,3934210
8587474,3933323
8229803,3931589
6687462,3934210
7579589,3931589
7030372,3931589
4097891,3932184
4821281,3931589
9505072,3931589
3932184,3658528
6407535,3933323
9549933,3932415
4096449,3935547
3937079,3426293
7381944,3931589
7119328,3931589
6806463,3931589
3931591,3365678
7279680,3931589
9066777,3931589
4693545,3931591
6928097,3932184
4504123,3934210
3937079,3289101
4380365,3932184
3931594,3725810
6635559,3936322
3936770,3777280
7176453,3931589
4742013,3936322
8592751,3931589
4148554,3932184
3932184,3771983
3934210,3422370
5592327,3934210
3937079,3738168
6356015,3934167
7241989,3931589
4328464,3931589
6602074,3931589
4017807,3931592
7217920,3931589
5388114,3931591
5361314,3932184
7875560,3936322
4490668,3933323
7981707,3936322
7902498,3931589
3936772,3576500
6914926,3931594
3933323,3535543
7075068,3931589
5177633,3934210
4593397,3934211
6259055,3935545
7462825,3931589
5283336,3932415
5310623,3932184
6628692,3931592
4010397,3935547
8955209,3936767
9110075,3932415
5097480,3931592
3932415,3822270
3933323,3225208
8340145,3933323
5757827,3934210
7274015,3931589
8558269,3936322
4283686,3936772
7223970,3931589
3936769,3297876
7005632,3931589
4429400,3937079
4867534,3935545
3933323,3434678
7399959,3931589
4147995,3935547
9142447,3936322
4910739,3936770
7612284,3933323
6339608,3931594
4773078,3937079
3933323,3781647
5497269,3932184
3936768,3404349
4185497,3937079
5119394,3936770
5638471,3932184
4641313,3936772
6185040,3934210
4099840,3936768
7122794,3931589
5414724,3931590
7456390,3931589
